Title,Actors
The Belko Experiment,Adria Arjona
The Belko Experiment,John C. McGinley
12 Years a Slave,Chiwetel Ejiofor
12 Years a Slave,Michael Kenneth Williams
12 Years a Slave,Michael Fassbender
12 Years a Slave,Brad Pitt
The Bad Batch,Keanu Reeves
The Bad Batch,Jason Momoa
The Bad Batch,Jim Carrey
The Bad Batch,Diego Luna
300,Gerard Butler
300,Lena Headey
300,David Wenham
300,Dominic West
Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe
Harry Potter and the Deathly Hallows: Part 2,Emma Watson
Harry Potter and the Deathly Hallows: Part 2,Rupert Grint
Harry Potter and the Deathly Hallows: Part 2,Michael Gambon
Office Christmas Party,Jason Bateman
Office Christmas Party,Olivia Munn
Office Christmas Party,"T.J. Miller,Jennifer Aniston"
The Neon Demon,Elle Fanning
The Neon Demon,Christina Hendricks
The Neon Demon,Keanu Reeves
The Neon Demon,Karl Glusman
Dangal,Aamir Khan
Dangal,Sakshi Tanwar
Dangal,"Fatima Sana Shaikh,Sanya Malhotra"
10 Cloverfield Lane,John Goodman
10 Cloverfield Lane,Mary Elizabeth Winstead
10 Cloverfield Lane,John Gallagher Jr.
10 Cloverfield Lane,Douglas M. Griffin
Finding Dory,Ellen DeGeneres
Finding Dory,"Albert Brooks,Ed O'Neill"
Finding Dory,Kaitlin Olson
Miss Peregrine's Home for Peculiar Children,Eva Green
Miss Peregrine's Home for Peculiar Children,Asa Butterfield
Miss Peregrine's Home for Peculiar Children,Samuel L. Jackson
Miss Peregrine's Home for Peculiar Children,Judi Dench
Divergent,Shailene Woodley
Divergent,Theo James
Divergent,Kate Winslet
Divergent,Jai Courtney
Mike and Dave Need Wedding Dates,Zac Efron
Mike and Dave Need Wedding Dates,Adam Devine
Mike and Dave Need Wedding Dates,Anna Kendrick
Mike and Dave Need Wedding Dates,Aubrey Plaza
Boyka: Undisputed IV,Scott Adkins
Boyka: Undisputed IV,Teodora Duhovnikova
Boyka: Undisputed IV,Alon Aboutboul
Boyka: Undisputed IV,Julian Vergov
The Dark Knight Rises,Christian Bale
The Dark Knight Rises,Tom Hardy
The Dark Knight Rises,"Anne Hathaway,Gary Oldman"
The Jungle Book,Neel Sethi
The Jungle Book,Bill Murray
The Jungle Book,Ben Kingsley
The Jungle Book,Idris Elba
Transformers: Age of Extinction,Mark Wahlberg
Transformers: Age of Extinction,Nicola Peltz
Transformers: Age of Extinction,Jack Reynor
Transformers: Age of Extinction,Stanley Tucci
Nerve,Emma Roberts
Nerve,Dave Franco
Nerve,Emily Meade
Nerve,Miles Heizer
Mamma Mia!,Meryl Streep
Mamma Mia!,Pierce Brosnan
Mamma Mia!,"Amanda Seyfried,Stellan Skarsgård"
The Revenant,Leonardo DiCaprio
The Revenant,Tom Hardy
The Revenant,Will Poulter
The Revenant,Domhnall Gleeson
Fences,Denzel Washington
Fences,Viola Davis
Fences,Stephen Henderson
Fences,Jovan Adepo
Into the Woods,Anna Kendrick
Into the Woods,Meryl Streep
Into the Woods,Chris Pine
Into the Woods,Emily Blunt
The Shallows,Blake Lively
The Shallows,Óscar Jaenada
The Shallows,Angelo Josue Lozano Corzo
The Shallows,Brett Cullen
Whiplash,Miles Teller
Whiplash,J.K. Simmons
Whiplash,Melissa Benoist
Whiplash,Paul Reiser
Furious 6,Vin Diesel
Furious 6,Paul Walker
Furious 6,Dwayne Johnson
Furious 6,Michelle Rodriguez
